zpid,address,price,beds,baths,area,latitude,longitude,statusText,soldPrice,detailUrl,imgSrc,brokerName,zestimate,zestimateHigh,zestimateLow,taxAssessedValue,lotArea
151718347,"145 W Locust Ave, Carlisle, PA 17013",,,,,40.204258,-77.19268,Sold,"$30,000",https://www.zillow.com/homedetails/145-W-Locust-Ave-Carlisle-PA-17013/151718347_zpid/,https://photos.zillowstatic.com/fp/0888b18d3c10b142da0283e351d9e31d-p_e.jpg,Berkshire Hathaway HomeServices Homesale Realty,,,,22000.0,7841.0
295838752,"F Crest Vw, Carlisle, PA 17013",,,,,40.213783,-77.19665,Sold,"$30,000",https://www.zillow.com/homedetails/F-Crest-Vw-Carlisle-PA-17013/295838752_zpid/,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.213783264160156,-77.19664764404297&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=S57NrP2YgAwD9c7X8phir8i0S40=",,,,,31200.0,5662.0
9235921,"604 W Louther St, Carlisle, PA 17013",,3.0,1.0,1392.0,40.203995,-77.20347,Sold,"$30,000",https://www.zillow.com/homedetails/604-W-Louther-St-Carlisle-PA-17013/9235921_zpid/,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.20399475097656,-77.2034683227539&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=w9RAh_BM2-3MX3II0tucGD6IdgI=",,,,,114700.0,2178.0
239764969,"572 Petersburg Rd, Carlisle, PA 17015",,,,,40.162106,-77.160774,Sold,"$45,000",https://www.zillow.com/homedetails/572-Petersburg-Rd-Carlisle-PA-17015/239764969_zpid/,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.162105560302734,-77.16077423095703&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=it9BP_uzwuiGjAVPF4BAxlGjxn4=",,,,,36000.0,0.5699954086317722
151794064,"1518 Shirley Ave, Carlisle, PA 17013",,3.0,3.0,1675.0,40.1953,-77.2259,Sold,"$36,000",https://www.zillow.com/homedetails/1518-Shirley-Ave-Carlisle-PA-17013/151794064_zpid/,https://photos.zillowstatic.com/fp/ec266517d78642d3251202e098c64d62-p_e.jpg,,,,,27100.0,5227.0
2082787523,"75 Bonnybrook Rd LOT 23, Carlisle, PA 17013",,2.0,1.0,840.0,40.17842,-77.18965,Sold,"$37,500",https://www.zillow.com/homedetails/75-Bonnybrook-Rd-LOT-23-Carlisle-PA-17013/2082787523_zpid/,https://photos.zillowstatic.com/fp/78a9bf9b2952ae18a2413ec99300092e-p_e.jpg,Keller Williams Keystone Realty,,,,,435.6
9236040,"153 W North St, Carlisle, PA 17013",,2.0,1.0,1152.0,40.205097,-77.192535,Sold,"$37,500",https://www.zillow.com/homedetails/153-W-North-St-Carlisle-PA-17013/9236040_zpid/,https://photos.zillowstatic.com/fp/a2c4d31f17607fbc3c8ca2870f597faf-p_e.jpg,,133500.0,,,51600.0,2178.0
9272444,"5 Coral Dr, Carlisle, PA 17013",,2.0,1.0,784.0,40.23804,-77.22693,Sold,"$27,000",https://www.zillow.com/homedetails/5-Coral-Dr-Carlisle-PA-17013/9272444_zpid/,https://photos.zillowstatic.com/fp/67b5ab76c6f1a1dfc0f0408365db50f1-p_e.jpg,Keller Williams Keystone Realty,55000.0,,,16400.0,
9283696,"49 Garden Pkwy, Carlisle, PA 17013",,2.0,1.0,924.0,40.19105,-77.18232,Sold,"$49,500",https://www.zillow.com/homedetails/49-Garden-Pkwy-Carlisle-PA-17013/9283696_zpid/,https://photos.zillowstatic.com/fp/b2fc9268edf5d2f2fb50abd7000b7ed1-p_e.jpg,Coldwell Banker Realty,52100.0,,,17100.0,
9264640,"238 Shady Ln, Carlisle, PA 17013",,,,,40.22319,-77.148926,Sold,"$48,000",https://www.zillow.com/homedetails/238-Shady-Ln-Carlisle-PA-17013/9264640_zpid/,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.22319030761719,-77.14892578125&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=j0mVPrz4uUW49rHxnZUPt17k2eQ=",,50600.0,,,84900.0,2.9
